attribute_code,choice_id,choice_name,description
00020,urban,Urban,Cities or densely populated areas
00020,peri_urban,Peri urban,"Towns and semi-dense areas, suburbs, or peri urban areas surrounding cities"
00020,rural,Rural,Regions with low population density
00041,active,Active,Asset is in use or ready to use
00041,backup,Backup,Asset is installed or available onsite to be used as a backup to other similar assets in case of maintenance or failure
00041,not_functional,Not functional,Asset is not currently operational due to a failure or maintenance problem
00041,under_construction,Under construction,Asset is not operational because it is under construction
00041,decommissioned,Decommissioned,Asset is no longer in use because it is permanently out of service
00041,disposed,Disposed,"Asset has been sold, demolished, or relocated to a disposal site"
00042,excellent,Excellent,"Designed to current standards, operable and well-maintained"
00042,good,Good,"Showing some signs of minor wear and tear, with minimal impact on performance; or, operable and well-maintained but not designed to current standards"
00042,fair,Fair,Structurally sound but some deterioration or damage that is beginning to impact performance or require more frequent maintenance
00042,poor,Poor,Functional but requires a high level of maintenance to continue operating or requires major rehabilitation or replacement
00042,very_poor,Very poor,Serious problems that impact performance or safety; major rehabilitation or replacement required in the short term
00043,functional,Functional,In good working condition and regularly providing water according to the specifications in the original design
00043,partially_functional,Partially functional,Provides water on a regular basis (possibly in a reduced capacity) but repairs are needed due to some maintenance issue or change in water quality or availability
00043,not_functional,Not functional,"No longer providing water on a regular basis; this could be due to maintenance issues, changes in water availability or quality, or problems with physical access"
00043,decommissioned,Decommissioned,"Permanently taken out of service, abandoned, or could not be found"
00053,very_low,Very low,
00053,low,Low,
00053,moderate,Moderate,
00053,high,High,
00053,very_high,Very high,
00054,very_low,Very low,
00054,low,Low,
00054,moderate,Moderate,
00054,high,High,
00054,very_high,Very high,
00055,very_low,Very low,
00055,low,Low,
00055,moderate,Moderate,
00055,high,High,
00055,very_high,Very high,
00094,brass,Brass,"Metal alloy of copper, zinc, and usually some lead"
00094,bronze,Bronze,"Copper-base metal alloy that may or may not include tin, lead, or other metals in small amounts"
00094,copper,Copper,Reddish metallic element that is ductile and malleable
00094,cast_iron,Cast iron,"Heavy brittle alloy of iron, carbon, and silicon that can be cast in specific shapes and has the ability to withstand shocks"
00094,ductile_iron,Ductile iron,"Similar material to cast iron, but with the primary graphite in a nodular or spheroidal form, giving it increased strength and flexibility"
00094,stainless_steel,Stainless steel,Chromium alloy steel that is resistant to rusting and corrosion
00094,steel,Steel,Iron-base alloy containing up to 2 percent carbon that is heat treated
00094,galvanized_steel,Galvanized steel,Steel that has a zinc coating to protect from corrosion and rust
00094,pvc,PVC,"Polyvinyl chloride, a type of polymer frequently used in pipes and containers"
00094,hdpe,HDPE,"High-density polyethylene, a type of polymer used in low-pressure applications"
00094,plastic,Plastic,"Any high molecular weight polymer material that can be extruded, molded, or drawn into various shapes and sizes; use this category for any plastics that are not PVC or HDPE"
00094,monel,Monel,"Nickel alloy, primarily composed of nickel and copper, with small amounts of iron, manganese, carbon, and silicon, which is corrosion resistant"
00094,other,Other,Any material not otherwise defined in this section
10201,distribution_network,Distribution network,Water supply is distributed to multiple users via a network of pipes
10201,point_source,Point source,Users access water at a single location
10202,branching,Branching,Pipes begin from a central point and split off into segments that are not interconnected to each other
10202,grid_or_mesh,Grid or mesh,Pipes split off into segments that are interconnected to each other downstream
10202,mixed,Mixed,Network has aspects of both branching and grid styles
10203,utility,Utility,Organization created by government through legislative action or a private partnership or corporation with a legal mandate to provide water services to a designated area
10203,local_government,Local government,Local or municipal government office or staff directly manage the system
10203,water_user_association,Water user association,"Community-based organization or cooperative group of water users (also known as water user committee, WASHCO, or community-based management)"
10203,water_authority,Water authority,Government agency or regulatory body established for the purpose of managing water service provision
10203,private,Private,"Individual, partnership, or corporation that owns and operates a water supply system but does not have a legal mandate to provide services to all water users"
10203,other,Other,Any other management entity not described by the other choices
10203,no_management,No management,No individual or organization can be identified that manages the system
20101,intake,Intake,Facility located at the head of a conduit into which water is diverted
20101,well_field,Well field,"Group of wells treated as a single entity for administrative, production, and treatment purposes"
20101,pumping_station,Pumping station,"Structure containing pumps and related piping, valves, and other equipment for pumping water"
20101,distribution_system,Distribution system,Network of conduits and related equipment by which water is distributed to consumers
20101,pipeline,Pipeline,Collection of pipes and related equipment that are jointed to provide a conduit through which fluids flow
20101,storage_facility,Storage facility,One or more tanks or storage reservoirs and related equipment used to maintain pressure and store water to accommodate intermittent periods of higher usage
20101,treatment_plant,Treatment plant,"Facility or area that contains various treatment works, process areas, and other equipment necessary to improve the quality of water"
20101,process_area,Process area,"Area or building, often contained within a treatment plant, where a specific water treatment process is carried out"
20101,other,Other,Any other type of water facility not defined in this section
30101,intake,Intake,Works or structures at the head of a conduit into which water is diverted
30101,spring,Spring,Concentrated discharge of groundwater appearing at the ground surface as a current of flowing water
30101,borehole,Borehole,"Deep hole with a small diameter that has been driven, bored, or drilled, in order to reach groundwater and constructed with casing or pipes to prevent collapse and contamination"
30101,dug_well,Dug well,Shallow hole with a large diameter that is dug into the ground to reach groundwater
30101,rainwater_catchment,Rainwater catchment,"System that collects rainwater from large surfaces, such as a roof or impermeable ground surface, so that it can be stored"
30101,other,Other,Any other type of source not otherwise defined in this section
30126,submersible_pump,Submersible pump,Electrically powered pump designed to fit inside the well casing and to operate below the water level
30126,hand_pump,Hand pump,Human-powered mechanical pump that uses suction or positive displacement to manually lift groundwater to the surface
30126,rope_and_bucket,Rope and bucket,Rope attached to a bucket on one end and a structure or winch on the surface to manually lift groundwater
30126,other,Other,"Any other type of pump not otherwise defined in this section, including centrifugal or positive displacement surface pumps, wind, and animal powered pumps"
30126,none,None,No pump is currently installed on the well
30153,steel,Steel,Iron-base alloy containing up to 2 percent carbon that is heat treated
30153,stainless_steel,Stainless steel,Chromium alloy steel that is resistant to rusting and corrosion
30153,pvc,PVC,"Polyvinyl chloride, a type of polymer frequently used in pipes and containers"
30153,plastic,Plastic,"Any high molecular weight polymer material that can be extruded, molded, or drawn into various shapes and sizes; use this category for any plastics that are not PVC"
30153,concrete,Concrete,"Mixture of cement and aggregate, usually reinforced with steel wire or rebar"
30153,fiberglass,Fiberglass,Reinforced plastic material composed of glass fibers embedded within a resin matrix
30153,galvanized_steel,Galvanized steel,Steel that has a zinc coating to protect from corrosion and rust
30153,other,Other,Any other type of casing material not described in this section
30201,submersible,Submersible,Electrically powered pump designed to fit inside the well casing and to operate below the water level
30201,axial_flow,Axial flow,Fluid is accelerated in the direction of the flow axis by an impeller running inside a casing
30201,centrifugal,Centrifugal,"Fluid enters along the pump axis, is accelerated by an impeller, and exits at right angles to the shaft; also known as a radial flow pump"
30201,reciprocating,Reciprocating,Fluid is moved by one or more oscillating pistons or plungers
30201,positive_displacement,Positive displacement,"Fluid is trapped and forced to move to the discharge side by a piston, gear, or rotary vane"
30201,hand_pump,Hand pump,"Human-powered mechanical device that uses a suction or positive displacement pump, often connected to a lever via a rod or chain, to manually lift water"
30201,hydraulic_ram,Hydraulic ram,Device that uses the water hammer effect to use some of the energy of inflowing water to lift a smaller volume of water
30201,other,Other,Any other pump type not described in this section
30204,integrated_with_pump,Integrated with pump,Motor and pump should be treated as the same asset
