type_code,asset_class,type_id,type_name,description,allowed_parent_classes
01,System,water_system,Water system,"Collection of assets that work together as a system to collect, treat, store, and deliver water to users",
01,Facility,water_facility,Water facility,"Physical location where specific functions are performed in the production, treatment, and delivery of water; the use of water facilities is optional and can be used to organize or locate the assets contained in large and complex treatment and distribution systems",
01,Vertical,source,Source,"Location where a supply of water, such as a lake, river, spring, or groundwater aquifer, is abstracted for use in a distribution system",
02,Vertical,pump,Pump,Mechanical or electromechanical device that increases the hydraulic head (pressure) of a fluid flowing through it,
03,Vertical,tank,Tank,Structure or container used to hold water or other fluids,
04,Vertical,power,Power,"Device that supplies electrical power for use by electrical equipment, such as a generator, solar power system, wind turbine, or connection to a power grid",
05,Vertical,treatment,Treatment,"Equipment or process that improves the physical, chemical, biological, or aesthetic quality of water",
06,Vertical,meter,Meter,Device for measuring the Flow rate of water through a pipe,
07,Vertical,electrical,Electrical,Any electrical or electronic device,
08,Vertical,valve,Valve,Mechanical device designed to close off or regulate the flow of water,
09,Vertical,hydrant,Hydrant,Device that provides the equipment needed to attach a fire hose to a water distribution network for use in extinguishing fires,
10,Vertical,junction,Junction,Section of a piped network that joins two or more pipes or conduits,
11,Vertical,sampling_point,Sampling point,Location or access point in a water distribution network that allows for a water sample to be collected for testing,
12,Vertical,sensor,Sensor,Device that measures a physical condition or parameter of interest,
13,Vertical,analyzer,Analyzer,Device that conducts periodic or continuous measurements of a water quality parameter,
14,Vertical,structure,Structure,Anything that is constructed or built with a fixed location on the ground,
15,Vertical,water_point,Water point,Location or facility where users can access water,
99,Vertical,other_vertical,Other vertical,Any other type of vertical asset not defined elsewhere in this standard,
01,Horizontal,pipe,Pipe,Conduit that carries water or other fluids from one location to another,
02,Horizontal,canal,Canal,"Artificial open channel or waterway constructed for transporting water, connecting two or more bodies of water, or serving as a waterway",
01,Natural,reservoir,Reservoir,Impounded body of water or controlled lake in which water can be collected and stored,
02,Natural,river_stream,River/stream,Large stream of water that serves as the natural drainage,
03,Natural,aquifer,Aquifer,Geologic formation that is saturated and sufficiently permeable to transmit useful quantities of water to wells and springs,
04,Natural,spring,Spring,Concentrated discharge of groundwater appearing at the ground surface,
05,Natural,riparian_zone,Riparian zone,Banks or immediate border of a stream or river,
06,Natural,infiltration_basin,Infiltration basin,Shallow pond or depression used to infiltrate stormwater or runoff through permeable soils into a groundwater aquifer,
07,Natural,forest,Forest,Land area characterized by woody vegetation greater than about 5 meters in height,
08,Natural,wetland,Wetland,"Area that is inundated or saturated by surface water or groundwater at a frequency and duration sufficient to support a vegetation adapted for life in saturated soil conditions; includes swamps, marshes, and bogs",
09,Natural,watershed,Watershed,Area from which water drains and contributes to a particular stream or river,
